organization,DISTRICT_ID,TYPE,COUNTY,COGO_ACRES,PLAT_ACRES,DIGITIZED,STATUS,CREATION_DATE,BNDRY_CHANGE,METHOD,SOURCE,ACCURACY,COMMENTS,INITIALS,UPDATED,TX_CNTY,FIPS,SHAPEAREA,SHAPELEN
Burns Branch MUD 1,1763500,MUD,Denton,4069.883961,1526.734,N,I,2019/09/01 00:00:00+00,,MB,FN,NP, ,SPT,2019/12/30 00:00:00+00,61,121,0.001594079,0.323058666
Las Damas Management District,5359000,MMD,Austin,407.1795018,405.595,N,A,2007/09/01 00:00:00+00,2007/08/29 00:00:00+00,MB,FN,NP,lasdamasmd.txt,jb,,8,15,0.000154194,0.050502835
Harris County WCID 119,4241190,MUD,Harris,909.2175185,905.8097,N,A,1968/10/22 00:00:00+00,2013/06/10 00:00:00+00,MB,FN,P,harris_wcid119-*.txt,kp,2014/07/08 00:00:00+00,101,201,0.000344089,0.207191568
Paloma Lake MUD 1,6710500,MUD,Williamson,380.1612424,378.579,N,A,2006/08/10 00:00:00+00,2006/08/10 00:00:00+00,MB,FN,P,palomalakemud1_*.txt,kp,2007/12/11 00:00:00+00,246,491,0.000144644,0.052063403
Harris County MUD 233,3737534,MUD,Harris,230.536904,229.6583,N,A,1983/06/19 00:00:00+00,2006/10/11 00:00:00+00,MB,FN,P,harrismud233_*.txt,kp,2007/12/11 00:00:00+00,101,201,8.72E-05,0.059619642
Harris County MUD 557,9000003,MUD,Harris,305.9647393,312.64,N,I,2017/09/01 00:00:00+00,,MB,FN,NP, ,ks,2020/01/03 00:00:00+00,101,201,0.00011579,0.051156936
Van Alstyne MUD 2 of Collin County,8270325,MUD,Collin,1617.859869,1619.23,N,I,2019/09/01 00:00:00+00,,MB,FN,NP, ,SPT,2019/01/06 00:00:00+00,43,85,0.000634486,0.237252808
Wright Farm MMD,8775000,MMD,Johnson,363.9402066,366.96,N,I,2019/09/01 00:00:00+00,,MB,FN,NP, ,ks,2020/01/17 00:00:00+00,126,251,0.000141216,0.07157454
New Park MMD,5953625,MMD,Dallas,9.98928549,10,n,i,2019/06/10 00:00:00+00,,MB,FN,P, ,ks,2020/01/24 00:00:00+00,57,113,3.89E-06,0.021628548
Magnolia Woods MUD 1 ,5662125,MUD,Montgomery,5732.533243,5731.952,N,I,2019/05/22 00:00:00+00,,MB,FN,NP, ,ks,2020/01/30 00:00:00+00,170,339,0.002174513,0.351954838
Burnet County WCID 1,1759500,WCID,Burnet,325.6860313,324.621,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,burnetwcid1.txt,kp,2007/12/12 00:00:00+00,27,53,0.000123899,0.047441481
Galveston County WCID 1,3220000,WCID,Galveston,6697.169989,0,N,A,1938/07/14 00:00:00+00,2017/11/13 00:00:00+00,E,SHP,NP,shp from Galveston CAD,ks,2018/08/24 00:00:00+00,84,167,0.002520611,0.617379296
Tarrant Regional Water District,7763500,RA,Tarrant,214084.337,0,NA,A,1924/10/07 00:00:00+00,,E,SHP,NP,bndry from District - on CD,ra,2002/03/14 00:00:00+00,220,439,0.083385463,6.302112763
Fort Griffin SUD,3095500,SUD,Throckmorton,582494.0914,0,Y,A,2007/09/01 00:00:00+00,,D,CCN,NP,Fort Griffin SUD.shp,kp,2014/07/28 00:00:00+00,224,447,0.227100291,3.136312892
Salt Fork Water Quality District,7406800,SUD,Stonewall,2009516.996,0,Y,I,1999/06/19 00:00:00+00,2007/09/01 00:00:00+00,E,OTH,NP,salt fork wqd.shp,kp,2014/07/29 00:00:00+00,217,433,0.785808898,4.800636636
Bauer Landing WCID ,1207602,WCID,Harris,306.5042401,306.469,N,I,2014/08/05 00:00:00+00,,MB,FN,P,bauer landing wcid.txt,kp,2014/05/07 00:00:00+00,101,201,0.000116075,0.063132503
Fort Bend County MUD 134D,3081198,MUD,Fort Bend,530.1520328,530.513,N,A,2015/02/13 00:00:00+00,2015/03/16 00:00:00+00,MB,FN,P, ,KS,2017/04/18 00:00:00+00,79,157,0.000199803,0.112756597
Lakeside MUD 5,5312250,MUD,Travis,199.5079556,198.69,N,I,2008/08/11 00:00:00+00,,MB,FN,P,lakesidemud5.txt,kp,2009/01/13 00:00:00+00,227,453,7.58E-05,0.034732531
Harris County MUD 476,3742080,MUD,Harris,297.4273211,296.288,N,I,2008/08/11 00:00:00+00,,MB,FN,P,harrismud476_*.txt,kp,2009/01/13 00:00:00+00,101,201,0.000112517,0.063927359
Fort Bend County LID 17,3073758,LID,Fort Bend,2314.919458,2330.369,N,A,2002/07/09 00:00:00+00,2016/12/15 00:00:00+00,MB,FN,NP, ,ks,2020/07/07 00:00:00+00,79,157,0.00087226,0.195359244
Harris County MUD 520,3737353,MUD,Harris,507.4090888,505.509,N,I,2008/11/14 00:00:00+00,,MB,FN,P,harrismud520_*.txt,kp,2009/01/13 00:00:00+00,101,201,0.000191785,0.096101585
Cameron County Water Improvement District 10,2220000,WID,Cameron,6657.903481,0,NA,A,1928/05/21 00:00:00+00,,D,OSD,NP,cameron_wid10.shp,SFA,2009/01/22 00:00:00+00,31,61,0.002431978,0.363552662
San Jacinto River Authority,7490000,RA,Montgomery,1569928.737,0,N,A,1937/08/21 00:00:00+00,,D,OTH,NP,san_jacinto_ra.shp,SFA,2009/01/23 00:00:00+00,170,339,0.596104623,5.610112087
Colorado River MWD,2380000,RA,Scurry,38090.1056,0,N,A,1949/03/01 00:00:00+00,1981/06/28 00:00:00+00,D,OTH,NP,colorado_river_mwd.shp,SFA,2009/01/27 00:00:00+00,208,415,0.014727383,2.002374589
Harris County MUD 388,3738434,MUD,Harris,200.6842005,199.885,NA,I,2001/08/20 00:00:00+00,2013/06/03 00:00:00+00,MB,FN,NP,location questionable,ks,2015/08/17 00:00:00+00,101,201,7.60E-05,0.0359133
CNP Utility District,1768000,MUD,Harris,834.4613863,832.832,N,A,1969/06/12 00:00:00+00,2013/12/19 00:00:00+00,MB,MAPMB,NP,difference in acres,ks,2013/08/25 00:00:00+00,101,201,0.000315822,0.151540839
Valwood Improvement Authority,8269800,LID,Dallas,2812.146637,2800,Y,A,1974/12/19 00:00:00+00,,OSD,MAp,NP,valwood_ia.shp,SFA,,57,113,0.001097174,0.131012168
West Fort Bend Management  District,8472530,MMD,Fort Bend,17217.07398,17472.17,N,A,2005/06/17 00:00:00+00,,MB,FN,NP,west_ftbend_md.shp,SFA,,79,157,0.006486116,1.433349539
Williamson County WCID 3,8668750,WCID,Williamson,221.3135259,220.36,N,I,2006/05/09 00:00:00+00,,MB,FN,NP,williamson_wcid3.shp,SFA,,246,491,8.43E-05,0.052937623
Harris County MUD 497,3747104,MUD,Harris,358.5899854,357.2,N,I,2009/02/25 00:00:00+00,,MB,FN,P,harrismud497_*.txt,kp,2009/03/05 00:00:00+00,101,201,0.00013574,0.069381983
CLL MUD 1A,2307088,MUD,Bell,9929.10677,10616.678,N,I,2013/10/15 00:00:00+00,2020/02/03 00:00:00+00,MB,MAP,NP,acres/tracts,SFA,,14,27,0.003789056,1.826637708
Harris County MUD 477,3747090,MUD,Harris,445.6546696,444.294,N,I,2008/06/13 00:00:00+00,,MB,FN,P,harrismud477_*.txt,kp,,101,201,0.00016864,0.064031661
Comal County Water Improvement District 2,2389750,WCID,Comal,2020.129506,2020,Y,A,2009/06/19 00:00:00+00,2011/06/21 00:00:00+00,OSD,FN,NP,comal_co_wid2.shp,kp,2012/05/09 00:00:00+00,46,91,0.000761992,0.208310073
Waterford MUD 1,8454575,MUD,Burnet,464.871867,463.03,N,I,2008/02/29 00:00:00+00,,MB,FN,P,waterfordmud1_*.txt,kp,,27,53,0.000176849,0.236303557
West Harris County MUD 11,8472964,MUD,Harris,995.6391302,995.7732,N,A,1981/10/14 00:00:00+00,2014/02/17 00:00:00+00,MB,FN,P, ,ks,2016/05/02 00:00:00+00,101,201,0.000376332,0.163783106
Williamson County MUD 23,8664438,MUD,Williamson,677.4470457,675.2,N,A,2008/01/25 00:00:00+00,2020/06/22 00:00:00+00,MB,FN,P, ,ks,2021/03/17 00:00:00+00,246,491,0.000257987,0.090794941
Valencia on the Lake WCID,8254500,WCID,Denton,449.3564197,448.005,N,I,2008/01/25 00:00:00+00,,MB,FN,P,valenciaotlwcid.txt,kp,,61,121,0.000175841,0.091510789
Bastrop County MUD 1,1206100,MUD,Bastrop,679.1173241,700.224,N,A,1999/06/25 00:00:00+00,,MB,FN,NP,"diff in acreage, see file",kp,2004/12/14 00:00:00+00,11,21,0.0002571,0.146346732
Harborside Management District,3548000,MMD,Galveston,1053.146695,0,Y,I,2003/06/20 00:00:00+00,,OSD,MB/OTH,NP,harborside_md.shp,SFA,2009/02/26 00:00:00+00,84,167,0.000395773,0.08881182
Harris County Improvement District 7,3736876,MMD,Harris,311.2956891,0,Y,I,2005/06/22 00:00:00+00,,OSD,MB/OTH,NP,harris_id7.shp,SFA,2009/02/26 00:00:00+00,101,201,0.000117502,0.062098427
Airline Improvement District,985250,OTH,Harris,2651.178046,0,Y,I,2005/05/25 00:00:00+00,,OSD,FN,NP,airline_id.shp,SFA,2009/03/10 00:00:00+00,8,15,0.001002026,0.16375692
Lamar County WCID 1 - Auds Creek,5332000,WCID,Lamar,473.1453305,575.6,Y,A,1956/06/25 00:00:00+00,,OSD,MAP,NP,lamar_wcid1_Auds_Cr.shp,SFA,2009/03/10 00:00:00+00,139,277,0.00018588,0.057025894
Port Bolivar Improvement District,7122400,MMD,Galveston,39981.98036,0,Y,I,2001/06/16 00:00:00+00,,OSD,OTH,NP,port_bolivar_id.shp,SFA,2009/03/10 00:00:00+00,84,167,0.015052303,1.111642365
Dallas County Utility & Reclamation District,2631000,RA,Dallas,3610.351784,0,N,A,1972/06/27 00:00:00+00,2013/05/31 00:00:00+00,MB,FN,NP,dallasurd.shp & .txt,kp,2013/07/05 00:00:00+00,57,113,0.001407918,1.051824389
Ellis County LID 4,2835000,LID,Ellis,8290.558074,8260,N,I,1916/06/12 00:00:00+00,,MB,FN,NP,ellislid4.shp,SFA,,70,139,0.00321972,0.43303875
Brookshire Katy Drainage District,1705000,DD,Waller,45593.43539,47000,Y,A,1961/05/23 00:00:00+00,,OSD,MAP,NP,brookshire_katy_dd.shp,SFA,,237,473,0.017219706,0.59640063
Brownsville Navigation District,1730000,ND,Cameron,225464.1142,40000,Y,A,1928/12/26 00:00:00+00,,OSD,MAP,NP,brownsville_nd.shp,SFA,,31,61,0.08227696,2.367676237
Calhoun County Drainage District 6,1870000,DD,Calhoun,2367.817688,2358,N,A,1926/04/14 00:00:00+00,,MB,FN,NP,calhound_co_dd6.shp,SFA,,29,57,0.000884425,0.136503258
Denton County LID 1,2721870,LID,Denton,957.4891493,938.337,Y,A,1985/02/11 00:00:00+00,,OSD,MAP,NP,denton_co_lid1.shp,SFA,,61,121,0.000373822,0.102682329
Dewitt County Drainage District 1,2725200,DD,De Witt,3121.383853,0,Y,A,1914/07/14 00:00:00+00,,OSD,MAP,NP,dewitt_co_dd1.shp,SFA,,62,123,0.001170691,0.184537787
El Paso County Tornillo WID,2851500,WID,El Paso,17941.88666,0,Y,A,1987/06/18 00:00:00+00,,OSD,MAP,NP,el_paso_co_tornillo_wid.shp,SFA,,71,141,0.006887957,0.405546728
Falcon Point WCID 1,2892575,WCID,Calhoun,5859.731056,5849.13,N,I,2006/02/23 00:00:00+00,,MB,FN,NP,falcon_point_wcid1.shp,SFA,,29,57,0.002182816,0.279830458
Cinco Southwest MUD 2,2286783,MUD,Fort Bend,884.2474581,881.6,N,A,2005/05/11 00:00:00+00,2007/12/13 00:00:00+00,MB,FN,P,cincoswmud2_brd3.txt,cd,2008/04/16 00:00:00+00,79,157,0.000333598,0.10685477
Montgomery County MUD 161,5857595,MUD,Montgomery,651.717642,652,N,I,2019/06/14 00:00:00+00,,MB,FN,P, ,ks,2019/09/06 00:00:00+00,170,339,0.000247191,0.176982416
Galveston County MUD 72,3212409,MUD,Galveston,539.7257857,537.92,N,I,2008/03/11 00:00:00+00,,MB,FN,P,galvestonmud72.txt,kp,,84,167,0.00020311,0.069311227
Kaufman County MUD 5,5189450,MUD,Kaufman,822.2363735,819.355,NA,A,2003/02/13 00:00:00+00,,MB/MAP,FN,P,lake-vista-ranch_mud1.txt/name chg,sjm,2003/08/11 00:00:00+00,129,257,0.000320273,0.086528512
Kaufman County MUD 6,5189725,MUD,Kaufman,479.0449682,477.4,NA,A,2003/03/06 00:00:00+00,,MB,FN,P,lake-vista-ranch_mud2.txt/name chg,sjm,2003/08/11 00:00:00+00,128,257,0.000186633,0.081637383
West Keegans Bayou Improvement District,8473400,WCID,Fort Bend,2480.346014,2394.661,NA,A,1979/03/14 00:00:00+00,2003/05/14 00:00:00+00,MB/D,FN/MAP,NP,west-keegans-bayou_id.txt,sjm,2003/09/17 00:00:00+00,79,157,0.000935519,0.251346989
West Harris County RWA,8472998,OTH,Harris,144577.9105,0,NA,A,2001/05/28 00:00:00+00,1899/12/30 00:00:00+00,E,SHP,P,whcrwa_dist_union_clnd.zip,ra,2003/11/05 00:00:00+00,101,201,0.054640331,2.090898211
Montgomery County MUD 83,5858125,MUD,Montgomery,361.2800986,359.872,NA,A,1993/11/12 00:00:00+00,1899/12/30 00:00:00+00,FN,FN,P,"mcmud83.txt, mcmud83n84.shp",ra,2003/11/12 00:00:00+00,170,339,0.0001368,0.072652509
Harris County MUD 144,3737346,MUD,Harris,362.8380174,362.7883,N,A,1976/12/06 00:00:00+00,1993/12/16 00:00:00+00,MB,MAPMB,P,NA,ra,2003/11/14 00:00:00+00,101,201,0.000137117,0.07420676
Harris County MUD 11,3737070,MUD,Harris,383.5373288,382.0873,N,A,1972/03/15 00:00:00+00,2020/11/12 00:00:00+00,MB,MAPMB,P, ,SPT,2021/02/12 00:00:00+00,101,201,0.000145015,0.087146345
Greenhawe WCID 2,3416150,WCID,Hays,2521.617144,2546.442,NA,A,2002/04/17 00:00:00+00,2003/12/04 00:00:00+00,E,DWG,NP,greenhawewcid2p#.dwg,ra,2004/01/28 00:00:00+00,105,209,0.000955274,0.265781634
Circle T MUD 2,2286908,MUD,Tarrant,385.6273948,384.3636,N,A,1987/08/31 00:00:00+00,2000/10/20 00:00:00+00,MB,MB,P,NA,mc,2001/04/10 00:00:00+00,220,439,0.000150537,0.108030607
Rebecca Creek MUD,7215000,MUD,Comal,1810.395916,1822,N,A,1984/03/15 00:00:00+00,1996/07/01 00:00:00+00,MB,MAPMB,NP,difference in acreages,mc,2004/01/16 00:00:00+00,46,91,0.000684423,0.245293327
Interstate MUD,4713000,MUD,Harris,473.5212398,471.679,NA,A,1974/09/10 00:00:00+00,2002/11/12 00:00:00+00,E,DWG,P,Interstate_mud.dwg,ra,2004/01/22 00:00:00+00,101,201,0.000178773,0.087207277
Tom Green County FWSD 2,7796000,FWSD,Tom Green,292.4327925,291.2,N,A,1957/01/28 00:00:00+00,,MB,MAPMB,P,tomgreen_fwsd2.txt,sjm,2004/10/13 00:00:00+00,226,451,0.000111988,0.051417183
Tom Green County FWSD 1,7795000,FWSD,Tom Green,586.051756,0,N,A,1956/08/01 00:00:00+00,,MB,MAPMB,NP,no plat acreage; tract 2 location??,sjm,2004/10/13 00:00:00+00,226,451,0.000225406,0.075645009
Quail Valley Utility District,7160000,MUD,Fort Bend,1576.948188,1572.149,N,A,1969/05/29 00:00:00+00,1984/02/13 00:00:00+00,MB,MAPMB,NP,qvalley_ud-*.txt; tract b: ??,sjm,2004/10/15 00:00:00+00,79,157,0.000594199,0.221708828
Nolan County FWSD 1,5965000,FWSD,Nolan,642.0432759,639.41,N,A,1953/08/10 00:00:00+00,,MB,FN,NP,correct acreage?,sjm,2004/10/18 00:00:00+00,353,177,0.000248209,0.063222843
Donahoe Creek Watershed Authority,2734000,WCID,Milam,99839.33437,97280,Y,A,1957/12/02 00:00:00+00,,MAP,MAP,NP,donahoecreekwatershed.shp,SFA,,166,331,0.038083946,1.369492688
Galveston County Consolidated Drainage District,3184500,DD,Galveston,16332.95564,15767.79,N,A,2002/02/05 00:00:00+00,,OSD,MAP,NP,galveston_consolidated_dd.shp,SFA,,84,167,0.006148823,0.497657435
Greater Sharpstown Management District,3413175,MMD,Harris,6719.055386,0,Y,A,2005/06/23 00:00:00+00,,OSD,MAP,NP,greater_sharpstown_md.shp,SFA,,101,201,0.002534762,0.24297985
Guadalupe-Blanco River Authority,3422000,RA,Hays,5055457.777,0,Y,A,1935/10/17 00:00:00+00,,OSD,MB,NP,guadalupe_blanco_ra.shp,SFA,,105,209,1.898963881,11.54544733
Harris County MUD 104,3737256,MUD,Harris,467.3801058,465.5269,N,A,1974/04/08 00:00:00+00,2007/07/09 00:00:00+00,MB,FN,NP,harrismud104-*.txt,kp,2008/08/18 00:00:00+00,101,201,0.000176933,0.137072923
Fort Bend County MUD 246,9000023,MUD ,Fort Bend,167.6617879,167.7,N,A,2021/06/15 00:00:00+00,,MB,FN,P, ,gn,2022/02/09 00:00:00+00,79,157,6.32E-05,0.032665051
Sienna Plantation LID,7573000,LID,Fort Bend,9866.522894,9832.342,N,A,1978/04/13 00:00:00+00,2008/06/04 00:00:00+00,MB,FN,NP,siennaplantationlid_*.txt,kp,2008/08/19 00:00:00+00,79,157,0.003714633,0.66060731
Freeport MUD 1,3104000,MUD,Brazoria,327.8164604,327.584,N,I,2021/08/27 00:00:00+00,,MB,FN,NP,misclose by 1.94 ft,gn,2022/02/09 00:00:00+00,20,39,0.000122805,0.061644752
The Colony MUD 1D,3198813,MUD,Bastrop,250.1659442,247.17,N,I,2003/09/01 00:00:00+00,2007/11/12 00:00:00+00,MB,FN,NP,thecolonymud1d_*.txt,kp,2008/08/19 00:00:00+00,11,21,9.48E-05,0.045512058
Frisco Square Management District,3111050,MMD,Collin,111.4766354,114.8298,N,I,2001/06/16 00:00:00+00,,E,MB,NP,friscosqmd.shp,SFA,2008/06/12 00:00:00+00,43,85,4.36E-05,0.058366321
Driftwood Economic Development MMD,2749000,MMD,Hays,496.9768192,457.766,N,A,2009/06/19 00:00:00+00,2009/10/03 00:00:00+00,MB,FN,NP, ,gn,2021/09/14 00:00:00+00, , ,0.000188293,0.148287344
Harris County Improvement District 4,3736702,MMD,Harris,1857.491521,2063.224,N,A,2001/06/16 00:00:00+00,2018/02/09 00:00:00+00,MB,FN,NP, ,gn,2021/09/15 00:00:00+00,101,201,0.000701263,0.288788939
Northwest Grayson County WCID 1,6035000,WCID,Grayson,31424.07497,0,N,A,1989/04/10 00:00:00+00,,SHP,CCN/TC,NP,nw_grayson_wcid1.shp,SFA,2009/03/05 00:00:00+00,91,181,0.012382718,0.840768561
Sabine Pass Port Authority,7390000,ND,Jefferson,247083.7177,0,Y,A,1973/04/30 00:00:00+00,,OSD,FN,NP,sabine_pass_port_auth.shp,SFA,2009/03/10 00:00:00+00,123,245,0.093195704,1.865444552
West Galveston Island Conservation District,8472560,MUD,Galveston,46374.05235,0,Y,I,2001/06/17 00:00:00+00,,OSD,FN,NP,w_galveston_island_cd.shp,SFA,2009/03/10 00:00:00+00,84,167,0.017411724,0.713256996
Orange County Drainage District,6215000,DD,Orange,238379.7468,0,Y,A,1963/05/30 00:00:00+00,,OSD,FN,NP,orange_dd.shp,SFA,,181,361,0.090305459,1.704900066
Palo Pinto County WCID 1,6555000,WCID,Palo Pinto,294.6675009,301.38,Y,A,2007/08/27 00:00:00+00,,OSD,MAPMB,NP,palo_pinto_fwsd1.shp,SFA,,182,363,0.000114908,0.154550014
Red River County  WCID 1-Langford Creek,7234000,WCID,Red River,25076.29672,0,Y,A,1957/01/23 00:00:00+00,,OSD,MAP,NP,red_river_wcid1.shp,SFA,2009/02/19 00:00:00+00,194,387,0.009855849,0.517428286
Williamson County MUD 18,8664070,MUD,Williamson,1104.686591,1100.074,N,I,2004/02/26 00:00:00+00,2008/01/15 00:00:00+00,MB,FN,NP,williamsonmud18_*.txt,kp,2008/08/21 00:00:00+00,246,491,0.000420743,0.093791817
Terranova West MUD,7776000,MUD,Harris,340.0528009,338.5408,N,A,1978/07/25 00:00:00+00,2008/02/21 00:00:00+00,MB,FN,P,terranovawestmud*.txt,kp,2008/08/21 00:00:00+00,101,201,0.000128697,0.06160727
San Jacinto River Authority,7490000,RA,Montgomery,1569928.737,0,N,A,1937/08/21 00:00:00+00,,D,OTH,NP,san_jacinto_ra.shp,SFA,2009/01/23 00:00:00+00,170,339,0.596104623,5.610112086
Greenspoint District,3413100,MMD,Harris,7358.53151,0,N,A,1991/05/26 00:00:00+00,,MB,FN,NP,greesnpoint_district.shp,SFA,,101,201,0.002782656,0.348517481
Escondido Watershed District,2891000,OTH,Karnes,75376.32081,74880,Y,A,1961/06/16 00:00:00+00,,MAP,MAP,NP,escondidowd.shp,SFA,,128,255,0.028198443,0.87476335
Montgomery County MUD 188,5853886,MUD,Montgomery,1.31728412,1.317,N,A,2020/09/01 00:00:00+00,,MB,FN,P, ,SPT,2020/01/15 00:00:00+00,170,339,4.99E-07,0.005504418
San Jacinto River Authority,7490000,RA,Montgomery,1569928.737,0,N,A,1937/08/21 00:00:00+00,,D,OTH,NP,san_jacinto_ra.shp,SFA,2009/01/23 00:00:00+00,170,339,0.596104623,5.610112087
Montgomery County MUD 154B,7429786,MUD,Montgomery,766.8258829,769.1,N,I,2020/01/30 00:00:00+00,,MB,FN,NP, ,gn,2021/12/09 00:00:00+00,170,339,0.000290735,0.100017237
Clear Creek Watershed Regional Flood Control District,2304000,OTH,Brazoria,119789.8061,119300,E,I,1995/05/29 00:00:00+00,,E,FN,NP,clearcreek_wfcd.shp,SFA,2008/06/12 00:00:00+00,20,39,0.045123135,1.559389791
Polk County FWSD 2,7114100,MUD,Polk,5563.447819,5303.58,Y,A,1976/01/26 00:00:00+00,2007/06/19 00:00:00+00,D,"DXF, D",NP,Lg acreage discrepancy,kp,2008/07/07 00:00:00+00,187,373,0.002122495,0.470491753
Smith County Economic Development District,7574975,OTH,Smith,126.2727125,128.745,N,I,2001/06/15 00:00:00+00,,E,MB,P,smithco_dd.shp,SFA,2008/06/13 00:00:00+00,212,423,4.90E-05,0.053947235
Greater Northside Management District,3413150,MMD,Harris,16395.74006,0,N,A,2001/06/16 00:00:00+00,,E,FN,NP,greaternsidemmd.shp,SFA,2007/06/12 00:00:00+00,101,201,0.006193016,0.380933774
Fannin County WCID 1,3000000,WCID,Fannin,46935.16892,0,Y,A,1956/07/24 00:00:00+00,,OSD,MAP,NP,fannin_co_wcid1.shp,SFA,,74,147,0.018451902,0.67421828
Angleton Drainage District,1023000,DD,Brazoria,45956.11028,0,Y,A,1908/01/20 00:00:00+00,,OSD,MAP,NP,angleton_dd.shp,SFA,,20,39,0.017246652,0.795603846
Hondo Creek Watershed Improvement District,4644000,OTH,Karnes,29388.6263,29408,Y,A,1951/12/02 00:00:00+00,,OSD,MAPMB,NP,hondo_creek_wid.shp,SFA,,128,255,0.010987518,0.567206525
Chambers County Improvement District 3,2265450,MUD,Chambers,880.1656881,880.3,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,chambers_id3.shp,SFA,2009/09/14 00:00:00+00,36,71,0.00033239,0.161761633
Liberty County MUD 6,5426500,MUD,Liberty,1402.220444,1393.8,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,liberty_mud6.shp,SFA,2009/09/14 00:00:00+00,146,291,0.000531206,0.103628621
Montgomery County Management District 1,5856985,MMD,Montgomery,1117.73737,1121.3,N,I,2019/06/14 00:00:00+00,,MB,FN,NP, ,ks,2019/08/26 00:00:00+00,170,339,0.00042377,0.168402198
Live Oak Creek MUD 1 of Tarrant County,3098750,MUD,Tarrant,265.3595015,264.559,N,A,2005/06/23 00:00:00+00,2009/05/19 00:00:00+00,MB,FN,P,liveoakcreekmud1_*.txt,kp,2012/02/22 00:00:00+00,220,439,0.000103374,0.046427489
Wharton County WCID 1,8510000,WCID,Wharton,515.477631,0,N,A,1950/04/17 00:00:00+00,,E,DWG,NP,whartonwcid1.shp / .dwg,kp,2008/06/24 00:00:00+00,241,481,0.000193365,0.074260711
Northwest Dallas County FCD,6024500,LID,Dallas,613.7948861,986.9574,N,A,1985/06/11 00:00:00+00,,MB/MAP,MBMAP,P,nwdallasfcd.shp,SFA,2008/06/18 00:00:00+00,57,113,0.00023955,0.080143479
Brazoria County MUD 38,1635907,MUD,Brazoria,228.9224818,229.04,N,A,2019/03/11 00:00:00+00,2019/11/08 00:00:00+00,MB,FN,P, ,SPT,2020/02/26 00:00:00+00,20,39,8.62E-05,0.042062407
Fort Bend County MUD 57,3080006,MUD,Fort Bend,640.4953544,638.3688,N,A,1984/11/21 00:00:00+00,2012/09/24 00:00:00+00,MB,FN,NP,fortbendmud57_*.txt,kp,2012/11/01 00:00:00+00,79,157,0.00024169,0.086301622
West Side Calhoun County Navigation District,8480000,ND,Calhoun,336713.6492,0,N,A,1954/05/07 00:00:00+00,,MB,FN,NP,westside_calhoun_co_nd.shp,SFA,,29,57,0.125444275,2.397583979
Willow Creek Water Control District,8673000,WCID,Runnels,36354.82152,28160,Y,A,1967/06/16 00:00:00+00,,MB,FN,NP,willow_creek_wcd.shp,SFA,,200,399,0.013984146,0.693821152
South Central Calhoun County WCID 1,7576800,WCID,Calhoun,2199.744324,0,N,A,1988/01/11 00:00:00+00,,MB,FN,NP,south_central_calhoun_wcid1.shp,SFA,2009/03/09 00:00:00+00,29,57,0.000820793,0.123916088
Stonewall County WCID 1,7610000,WCID,Stonewall,1304.950113,0,Y,A,1952/06/14 00:00:00+00,,OSD,MAP,NP,stonewall_wcid1.shp,SFA,2009/03/09 00:00:00+00,217,433,0.000510327,0.110843724
Webb County Drainage District 1,8455500,DD,Webb,5836.403191,5800,N,I,1995/11/07 00:00:00+00,,MB,MAP,NP,webb_dd1.shp,SFA,2009/03/09 00:00:00+00,240,479,0.002156515,0.234967205
Lavaca - Navidad River Authority,5373000,RA,Jackson,548691.2529,0,Y,A,1941/05/22 00:00:00+00,,OSD,MB,NP,lavaca_navidad_ra.shp,SFA,,120,239,0.205516317,2.268672197
Sabine River Authority,7400000,RA,Newton,4767494.39,0,Y,A,1949/05/03 00:00:00+00,,OSD,OTH,NP,sabine_ra.shp,SFA,,176,351,1.842577088,13.47117949
Harris County WCID 96,4225000,WCID,Harris,1188.383891,1184.25,N,A,1966/06/16 00:00:00+00,2010/07/06 00:00:00+00,MB,FN,NP,harriswcid96_*.txt,kp,2010/08/31 00:00:00+00,101,201,0.000449322,0.266280823
Brazoria County MUD 25,1636660,MUD,Brazoria,441.3617896,439.8459,NA,A,2001/12/18 00:00:00+00,2008/07/25 00:00:00+00,MB,FN,NP,brazoriamud25t*.txt,sae,2008/12/29 00:00:00+00,20,39,0.000166238,0.088119966
Harris County Utility District 16,3744900,MUD,Harris,646.6321345,644.1707,N,A,1971/05/26 00:00:00+00,2007/10/12 00:00:00+00,MB,FN,P,harris_ud16-*.txt,sae,2008/12/29 00:00:00+00,101,201,0.000244618,0.135022859
Medina County WCID 1,5804750,WCID,Medina,873.4850968,870.458,N,I,2008/08/04 00:00:00+00,,MB,FN,P,medinawcid1_*.txt,sae,,163,325,0.000329067,0.125055602
Harris County MUD 439,3737169,MUD,Harris,349.6136811,348.28,N,A,2006/02/14 00:00:00+00,2008/11/13 00:00:00+00,MB,FN,NP,harrismud439_*.txt,sae,2009/01/12 00:00:00+00,101,201,0.000132104,0.082649003
Southeast Texas Agricultural Development District,7579010,OTH,Chambers,315195.9042,0,Y,I,1999/09/01 00:00:00+00,,OSD,OTH,NP,se_tx_ag_dd.shp,SFA,2009/03/10 00:00:00+00,36,71,0.118934484,1.818230057
Montgomery County MUD 15,5857550,MUD,Montgomery,835.1234422,831.242,N,A,1972/09/19 00:00:00+00,2010/10/13 00:00:00+00,MB,FN,NP,montgomerymud15_*.txt,kp,2012/02/28 00:00:00+00,170,339,0.000316643,0.203385241
